#{"t_start": 1715681333.7286725, "env_id": "ALE/MsPacman-ram-v5"}
r,l,t
70.0,529,381.89859
70.0,529,382.345294
70.0,529,382.787634
70.0,529,383.246939
70.0,529,383.922576
70.0,529,384.384806
70.0,529,384.844233
70.0,529,385.305728
70.0,529,385.766833
70.0,529,386.429679
70.0,529,386.868188
70.0,529,387.331722
70.0,529,387.773967
70.0,529,388.235302
70.0,529,388.912915
70.0,529,389.373503
70.0,529,389.839595
70.0,529,390.299805
70.0,529,390.766222
70.0,529,391.429917
70.0,529,391.874422
70.0,529,392.332748
70.0,529,392.808641
70.0,529,393.27251
70.0,529,393.978652
70.0,529,394.445325
70.0,529,394.909387
70.0,529,395.376788
70.0,529,395.842695
70.0,529,396.541147
70.0,529,397.040228
70.0,529,397.509505
70.0,529,397.989773
70.0,529,398.512834
70.0,529,399.206824
70.0,529,399.666337
70.0,529,400.131717
70.0,529,400.599916
70.0,529,401.069333
70.0,529,401.766669
70.0,529,402.236022
70.0,529,402.70116
70.0,529,403.162544
70.0,529,403.622021
70.0,529,404.333308
70.0,529,404.830331
70.0,529,405.2985
70.0,529,405.771014
70.0,529,406.270156
70.0,529,407.01327
70.0,529,407.493264
70.0,529,407.971242
70.0,529,408.450849
70.0,529,408.938978
70.0,529,409.635243
70.0,529,410.090345
70.0,529,410.535061
70.0,529,410.989335
70.0,529,411.45106
70.0,529,412.160961
70.0,529,412.654776
70.0,529,413.12137
70.0,529,413.587816
70.0,529,414.070004
70.0,529,414.745489
70.0,529,415.215075
70.0,529,415.67423
70.0,529,416.132561
70.0,529,416.602808
70.0,529,417.341846
70.0,529,417.830789
70.0,529,418.302188
70.0,529,418.764503
70.0,529,419.245695
70.0,529,419.951427
70.0,529,420.43142
70.0,529,420.899566
70.0,529,421.386868
70.0,529,421.870363
70.0,529,422.588352
70.0,529,423.08114
70.0,529,423.546647
70.0,529,424.014123
70.0,529,424.497876
70.0,529,425.216189
70.0,529,425.681588
70.0,529,426.147829
70.0,529,426.622035
70.0,529,427.109009
70.0,529,427.797722
70.0,529,428.25511
70.0,529,428.709761
70.0,529,429.158836
70.0,529,429.649027
70.0,529,430.327792
70.0,529,430.779168
70.0,529,431.22369
70.0,529,431.671758
70.0,529,432.1422
70.0,529,432.827858
70.0,529,433.297005
70.0,529,433.75374
70.0,529,434.245477
70.0,529,434.706611
70.0,529,435.405343
70.0,529,435.873555
70.0,529,436.340859
70.0,529,436.821141
70.0,529,437.328032
70.0,529,438.014868
70.0,529,438.458918
70.0,529,438.90854
70.0,529,439.356846
70.0,529,439.864863
70.0,529,440.552722
70.0,529,441.022792
70.0,529,441.503769
70.0,529,441.973042
70.0,529,442.478198
70.0,519,443.172311
70.0,519,443.645758
70.0,519,444.107094
70.0,519,444.583439
70.0,519,445.05115
70.0,519,445.734298
70.0,519,446.189661
70.0,519,446.641977
70.0,519,447.11907
70.0,519,447.581195
70.0,529,448.294038
70.0,529,448.766199
70.0,529,449.246373
70.0,529,449.70989
70.0,529,450.202616
70.0,529,450.899079
70.0,529,451.399082
70.0,529,451.857499
70.0,529,452.324997
70.0,529,452.818923
70.0,529,453.509705
70.0,529,453.974004
70.0,529,454.439288
70.0,529,454.895278
70.0,529,455.360608
70.0,529,456.038256
70.0,529,456.509676
70.0,529,456.964827
70.0,529,457.419231
70.0,529,457.906423
70.0,529,458.57146
70.0,529,459.039414
70.0,529,459.509787
70.0,529,459.962101
70.0,529,460.426609
70.0,529,461.113249
70.0,529,461.567162
70.0,529,462.016691
70.0,529,462.465093
70.0,529,462.931318
70.0,529,463.610088
70.0,529,464.06846
70.0,529,464.541653
70.0,529,465.038728
70.0,529,465.530972
70.0,529,466.210739
70.0,529,466.68883
70.0,529,467.144999
70.0,529,467.608417
70.0,529,468.088611
70.0,529,468.773364
70.0,529,469.242321
70.0,529,469.711101
70.0,529,470.162994
70.0,529,470.621464
70.0,529,471.332965
70.0,529,471.79991
70.0,529,472.267294
70.0,529,472.738459
70.0,529,473.221685
70.0,529,473.931114
70.0,529,474.409264
70.0,529,474.88554
70.0,529,475.340951
70.0,529,475.807979
70.0,529,476.486776
70.0,529,476.948046
70.0,529,477.418657
70.0,529,477.881887
70.0,529,478.383604
70.0,529,479.083449
70.0,529,479.572543
70.0,529,480.063539
70.0,529,480.535473
70.0,529,481.013877
70.0,529,481.741995
70.0,529,482.226281
70.0,529,482.686495
70.0,529,483.161836
70.0,529,483.639829
70.0,529,484.334282
70.0,529,484.806745
70.0,529,485.281455
