#{"t_start": 1715635368.0384052, "env_id": "ALE/MsPacman-ram-v5"}
r,l,t
1310.0,671,459.360458
1030.0,617,459.898453
430.0,495,460.324227
1040.0,661,460.883852
520.0,869,462.379218
160.0,555,462.853317
500.0,707,463.45021
570.0,567,463.892389
1020.0,793,464.414691
620.0,761,465.524636
300.0,569,465.909341
1340.0,625,466.380928
730.0,535,466.786371
360.0,449,467.134154
680.0,607,468.176115
480.0,635,468.597673
680.0,621,469.060767
700.0,623,469.648663
450.0,507,470.057957
250.0,461,471.159378
780.0,783,471.800623
300.0,417,472.151383
520.0,609,472.66348
690.0,821,473.363058
650.0,623,474.483871
530.0,573,474.867655
320.0,377,475.116837
260.0,391,475.37297
850.0,673,475.824456
470.0,631,476.89265
260.0,449,477.19614
470.0,525,477.573754
280.0,513,477.929467
400.0,645,478.415686
100.0,483,479.498394
100.0,483,479.907478
130.0,345,480.192975
190.0,577,480.685641
100.0,483,481.091091
180.0,445,482.179985
300.0,509,482.617806
180.0,445,482.990993
300.0,509,483.427223
430.0,609,483.934836
1680.0,523,484.899755
1800.0,587,485.331005
1670.0,631,485.74648
690.0,603,486.178959
1670.0,631,486.645109
140.0,361,487.506295
140.0,441,487.805105
260.0,467,488.120851
720.0,693,488.604357
700.0,705,489.139117
410.0,549,490.351754
410.0,503,490.818518
570.0,585,491.332814
260.0,357,491.634414
430.0,555,492.089062
920.0,755,493.421299
510.0,711,494.041881
510.0,705,494.562496
310.0,867,495.137074
310.0,727,495.6276
1150.0,883,496.845254
1900.0,825,497.471332
1190.0,873,498.130183
770.0,919,498.820355
1080.0,809,499.44045
560.0,537,500.740655
370.0,407,501.075304
2310.0,951,501.852918
470.0,695,502.443004
880.0,693,503.01739
1030.0,737,504.341217
460.0,765,504.888709
370.0,349,505.118247
390.0,561,505.491982
920.0,755,506.00006
810.0,601,506.99874
810.0,601,507.446736
810.0,601,507.922023
210.0,397,508.216783
210.0,397,508.507572
490.0,643,509.586904
750.0,689,510.175273
1380.0,1041,511.096777
720.0,675,511.684593
620.0,637,512.242423
60.0,483,513.429183
60.0,483,513.834072
60.0,483,514.241749
60.0,483,514.649054
60.0,483,514.973809
1060.0,885,516.158992
1060.0,843,516.730832
1060.0,653,517.222508
980.0,591,517.665322
1040.0,707,518.20454
790.0,557,519.223572
460.0,661,519.685447
520.0,691,520.223305
520.0,691,520.810992
520.0,691,521.389205
120.0,281,522.35597
120.0,281,522.597452
120.0,281,522.833786
120.0,281,523.069753
210.0,369,523.383116
480.0,399,524.448837
580.0,745,525.050328
570.0,545,525.408442
590.0,643,525.847383
350.0,515,526.269634
560.0,571,527.302808
650.0,641,527.698564
590.0,623,528.095703
430.0,645,528.520446
600.0,627,528.942548
710.0,599,529.950629
1910.0,723,530.436715
560.0,529,530.803783
230.0,393,531.069162
720.0,685,531.498358
950.0,881,532.711409
590.0,581,533.045203
1310.0,785,533.524795
660.0,701,533.930555
1040.0,523,534.242991
330.0,405,535.125891
270.0,435,535.378315
610.0,525,535.792738
170.0,381,536.035989
150.0,301,536.235638
360.0,641,537.250924
780.0,859,537.77128
140.0,521,538.090034
400.0,671,538.475725
580.0,637,538.846732
400.0,661,539.728904
190.0,517,540.020657
390.0,581,540.346447
210.0,629,540.714932
210.0,629,541.093486
690.0,615,541.970994
1110.0,633,542.360819
250.0,723,542.973269
680.0,585,543.443338
250.0,441,543.790874
620.0,627,544.978252
660.0,711,545.49075
660.0,711,545.976755
690.0,913,546.64515
740.0,643,547.04512
